Footnote,Year,"Country of origin (ISO)","Country of asylum (ISO)","Population type"
"Refugees includes people in refugee-like situations",2020,UKR,,REF
"The IDP figure has been aligned to the inter-agency methodology as defined in the 2020 Humanitarian Needs Overview. Figure of others of concern relates to persons who have specific protection needs and live in non-government-controlled areas or within 20 km of the contact line in government-controlled areas.",2020,UKR,,IDP
